chr	start	end	strand	geneName	chrInt	testIndex	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	Zscore	testStat	signedTestStat	pvalue	adjpvalue
chrX	155276210	155335614	-	CLIC2	23	91567	1	59403	19747	1810967302	1	59403	5282	1810981767	0	59404	685	1810986364	2	59402	9781	1810977268	0	59404	3638	1810983411	0	59404	1898	1810985151	3	59401	22991	1810964058	3	59401	18133	1810968916	3	59401	15253	1810971796	1.40333088723895	16.8755782865919	16.8755782865919	3.99118127661913e-05	0.000144517150207627
chr16	15649244	15726353	+	NDE1	16	67534	1	77108	19747	1810949597	2	77107	5281	1810964063	1	77108	684	1810968660	2	77107	9781	1810959563	1	77108	3637	1810965707	0	77109	1898	1810967446	3	77106	22991	1810946353	4	77105	18132	1810951212	1	77108	15255	1810954089	1.28558049736771	16.8606843478046	16.8606843478046	4.02262392371622e-05	0.000145606310991097
chr12	8988620	9010760	+	KLRG1	12	53568	3	22137	19745	1811004568	0	22140	5283	1811019030	0	22140	685	1811023628	0	22140	9783	1811014530	1	22139	3637	1811020676	1	22139	1897	1811022416	1	22139	22993	1811001320	1	22139	18135	1811006178	1	22139	15255	1811009058	1.90478880431933	16.8575024129823	16.8575024129823	4.02937353366495e-05	0.000145825921906875
chr17	59058225	59059493	+	RN7SL716P	17	74024	0	1268	19748	1811025437	0	1268	5283	1811039902	0	1268	685	1811044500	1	1267	9782	1811035403	1	1267	3637	1811041548	0	1268	1898	1811043287	0	1268	22994	1811022191	0	1268	18136	1811027049	1	1267	15255	1811029930	3.78415802051159	16.840235512238	16.840235512238	4.06619958860377e-05	0.000147108849660848
chrX	47232008	47248328	+	USP11	23	89245	0	16320	19748	1811010385	0	16320	5283	1811024850	0	16320	685	1811029448	0	16320	9783	1811020350	0	16320	3638	1811026495	0	16320	1898	1811028235	2	16318	22992	1811007141	2	16318	18134	1811011999	3	16317	15253	1811014880	2.07625478714775	16.8224333501421	16.8224333501421	4.10452151463625e-05	0.000148413227517422
chr7	138459434	138585585	+	TRIM24	7	36529	4	126147	19744	1810900558	3	126148	5280	1810915022	1	126150	684	1810919618	2	126149	9781	1810910521	2	126149	3636	1810916666	0	126151	1898	1810918404	2	126149	22992	1810897310	3	126148	18133	1810902169	3	126148	15253	1810905049	1.08102196232808	16.8088306006975	16.8088306006975	4.1340480863572e-05	0.000149361186102797
chr1	35182935	35194145	-	SFPQ	1	1839	0	11210	19748	1811015495	1	11209	5282	1811029961	0	11210	685	1811034558	1	11209	9782	1811025461	0	11210	3638	1811031605	1	11209	1897	1811033346	1	11209	22993	1811012250	1	11209	18135	1811017108	1	11209	15255	1811019988	2.29769735933554	16.7775690141134	16.7775690141134	4.20271734258293e-05	0.000151688279491502
chr6	43181195	43224587	+	CUL9	6	30367	1	43391	19747	1810983314	1	43391	5282	1810997779	0	43392	685	1811002376	1	43391	9782	1810993279	0	43392	3638	1810999423	0	43392	1898	1811001163	3	43389	22991	1810980070	1	43391	18135	1810984926	4	43388	15252	1810987809	1.55035666060731	16.7746127587743	16.7746127587743	4.20927011097749e-05	0.000151847838023394
chr1	155173753	155184971	+	TRIM46	1	5323	1	11217	19747	1811015488	0	11218	5283	1811029952	0	11218	685	1811034550	1	11217	9782	1811025453	1	11217	3637	1811031598	0	11218	1898	1811033337	0	11218	22994	1811012241	3	11215	18133	1811017102	0	11218	15256	1811019979	2.29698389646215	16.7698690951802	16.7698690951802	4.21980627869356e-05	0.000152150861891403
chr6	36450911	36452201	-	RN7SL502P	6	30060	1	1289	19747	1811025416	1	1289	5282	1811039881	0	1290	685	1811044478	1	1289	9782	1811035381	0	1290	3638	1811041525	0	1290	1898	1811043265	0	1290	22994	1811022169	0	1290	18136	1811027027	0	1290	15256	1811029907	3.76695073778301	16.7393765761517	16.7393765761517	4.28816920944319e-05	0.000154407333161734
chr19	17152615	17169051	-	AC020913.1	19	79065	3	16433	19745	1811010272	0	16436	5283	1811024734	0	16436	685	1811029332	2	16434	9781	1811020236	0	16436	3638	1811026379	0	16436	1898	1811028119	1	16435	22993	1811007024	0	16436	18136	1811011881	1	16435	15255	1811014762	2.06917161368602	16.7357501098886	16.7357501098886	4.29637332856059e-05	0.000154676678873385
chr1	151292478	151328419	-	PI4KB	1	4936	1	35940	19747	1810990765	0	35941	5283	1811005229	0	35941	685	1811009827	0	35941	9783	1811000729	0	35941	3638	1811006874	0	35941	1898	1811008614	2	35939	22992	1810987520	3	35938	18133	1810992379	4	35937	15252	1810995260	1.64344032809776	16.7341510653496	16.7341510653496	4.29999584258267e-05	0.00015478101611938
chr1	1702735	1738688	-	AL031282.2	1	200	0	35953	19748	1810990752	0	35953	5283	1811005217	0	35953	685	1811009815	1	35952	9782	1811000718	0	35953	3638	1811006862	0	35953	1898	1811008602	6	35947	22988	1810987512	2	35951	18134	1810992366	1	35952	15255	1810995245	1.64310648972987	16.7287643775344	16.7287643775344	4.31222158522315e-05	0.000155194944604115
chr8	123319849	123397447	-	ATAD2	8	40163	4	77594	19744	1810949111	0	77598	5283	1810963572	0	77598	685	1810968170	1	77597	9782	1810959073	0	77598	3638	1810965217	0	77598	1898	1810966957	3	77595	22991	1810945864	4	77594	18132	1810950723	3	77595	15253	1810953602	1.27925840138317	16.7236345270649	16.7236345270649	4.32389688951318e-05	0.000155562729143337
chr1	28031883	28033180	-	RN7SL559P	1	1489	1	1296	19747	1811025409	0	1297	5283	1811039873	0	1297	685	1811044471	0	1297	9783	1811035373	0	1297	3638	1811041518	0	1297	1898	1811043258	0	1297	22994	1811022162	1	1296	18135	1811027021	1	1296	15255	1811029901	3.76153721716347	16.7076537711546	16.7076537711546	4.36047246125115e-05	0.000156720294498828
chr12	56670449	56671746	-	RN7SL809P	12	55415	1	1296	19747	1811025409	0	1297	5283	1811039873	0	1297	685	1811044471	0	1297	9783	1811035373	0	1297	3638	1811041518	0	1297	1898	1811043258	0	1297	22994	1811022162	1	1296	18135	1811027021	1	1296	15255	1811029901	3.76153721716347	16.7076537711546	16.7076537711546	4.36047246125115e-05	0.000156720294498828
chr17	31303769	31315054	-	EVI2B	17	72196	2	11283	19746	1811015422	1	11284	5282	1811029886	0	11285	685	1811034483	1	11284	9782	1811025386	0	11285	3638	1811031530	0	11285	1898	1811033270	0	11285	22994	1811012174	2	11283	18134	1811017034	0	11285	15256	1811019912	2.29102861482385	16.7056164387614	16.7056164387614	4.36515765727119e-05	0.000156862300139444
chr9	124522466	124772287	-	NR6A1	9	43204	12	249809	19736	1810776896	2	249819	5281	1810791351	0	249821	685	1810795947	4	249817	9779	1810786853	0	249821	3638	1810792994	1	249820	1897	1810794735	2	249819	22992	1810773640	4	249817	18132	1810778500	6	249815	15250	1810781382	0.836051441179841	16.7037891726941	16.7037891726941	4.36936407471888e-05	0.000156960662717751
chr3	43313950	43315255	+	RN7SL517P	3	15907	1	1304	19747	1811025401	0	1305	5283	1811039865	1	1304	684	1811044464	0	1305	9783	1811035365	0	1305	3638	1811041510	0	1305	1898	1811043250	0	1305	22994	1811022154	1	1304	18135	1811027013	0	1305	15256	1811029892	3.75538600267055	16.6716158268973	16.6716158268973	4.44409919829747e-05	0.000159484493735341
chr6	36521190	36522501	+	RN7SL748P	6	30062	0	1311	19748	1811025394	0	1311	5283	1811039859	0	1311	685	1811044457	1	1310	9782	1811035360	0	1311	3638	1811041504	0	1311	1898	1811043244	0	1311	22994	1811022148	1	1310	18135	1811027007	1	1310	15255	1811029887	3.75079729671466	16.6447323262692	16.6447323262692	4.50753133558468e-05	0.00016170655145641
chr9	129035933	129072082	+	MIGA2	9	43504	4	36145	19744	1810990560	0	36149	5283	1811005021	0	36149	685	1811009619	1	36148	9782	1811000522	1	36148	3637	1811006667	1	36148	1897	1811008407	1	36148	22993	1810987311	0	36149	18136	1810992168	2	36147	15254	1810995050	1.63766940346989	16.6411132579669	16.6411132579669	4.51613983287746e-05	0.000161988181650315
chr8	144428774	144445440	-	TONSL	8	40874	2	16664	19746	1811010041	1	16665	5282	1811024505	0	16666	685	1811029102	1	16665	9782	1811020005	0	16666	3638	1811026149	0	16666	1898	1811027889	1	16665	22993	1811006794	1	16665	18135	1811011652	1	16665	15255	1811014532	2.05527396152675	16.5659334799275	16.5659334799275	4.69875237968376e-05	0.000168340446171534
chr7	26173056	26202301	-	HNRNPA2B1	7	33607	4	29241	19744	1810997464	0	29245	5283	1811011925	0	29245	685	1811016523	1	29244	9782	1811007426	1	29244	3637	1811013571	0	29245	1898	1811015310	1	29244	22993	1810994215	2	29243	18134	1810999074	0	29245	15256	1811001952	1.74424763798831	16.5415901709348	16.5415901709348	4.75945964263369e-05	0.000170388214336167
chr12	48653888	48683158	-	KANSL2	12	54622	1	29269	19747	1810997436	0	29270	5283	1811011900	0	29270	685	1811016498	2	29268	9781	1811007402	0	29270	3638	1811013545	0	29270	1898	1811015285	5	29265	22989	1810994194	0	29270	18136	1810999047	1	29269	15255	1811001928	1.74339311887995	16.528899166733	16.528899166733	4.79142052843828e-05	0.000171315733653181
chr20	63744524	63832244	-	ZBTB46	20	85090	2	87718	19746	1810938987	1	87719	5282	1810953451	0	87720	685	1810958048	1	87719	9782	1810948951	1	87719	3637	1810955096	0	87720	1898	1810956835	2	87718	22992	1810935741	4	87716	18132	1810940601	5	87715	15251	1810943482	1.22119173006156	16.5127284387127	16.5127284387127	4.83245757753048e-05	0.000172667426520224
chr11	73721348	73722694	+	AP002993.1	11	51088	1	1345	19747	1811025360	0	1346	5283	1811039824	0	1346	685	1811044422	0	1346	9783	1811035324	1	1345	3637	1811041470	0	1346	1898	1811043209	0	1346	22994	1811022113	1	1345	18135	1811026972	0	1346	15256	1811029851	3.72444154590739	16.490390535444	16.490390535444	4.88972721301995e-05	0.000174655301505512
chr11	64305226	64316743	+	ESRRA	11	50254	1	11516	19747	1811015189	0	11517	5283	1811029653	0	11517	685	1811034251	0	11517	9783	1811025153	0	11517	3638	1811031298	0	11517	1898	1811033038	1	11516	22993	1811011943	2	11515	18134	1811016802	2	11515	15254	1811019682	2.27067713536127	16.4863680424169	16.4863680424169	4.90011230610543e-05	0.00017496774673221
chr19	51992452	52009230	-	ZNF615	19	81869	2	16776	19746	1811009929	0	16778	5283	1811024392	0	16778	685	1811028990	2	16776	9781	1811019894	0	16778	3638	1811026037	0	16778	1898	1811027777	1	16777	22993	1811006682	1	16777	18135	1811011540	1	16777	15255	1811014420	2.0485756761356	16.484214709606	16.484214709606	4.90568079547504e-05	0.00017510826309729
chr16	69370210	69386988	-	TERF2	16	69443	3	16775	19745	1811009930	1	16777	5282	1811024393	0	16778	685	1811028990	1	16777	9782	1811019893	0	16778	3638	1811026037	0	16778	1898	1811027777	1	16777	22993	1811006682	1	16777	18135	1811011540	0	16778	15256	1811014419	2.04857570176616	16.4842124534771	16.4842124534771	4.90568663312763e-05	0.00017510826309729
chr12	57487067	57516649	+	MARS1	12	55496	1	29581	19747	1810997124	0	29582	5283	1811011588	0	29582	685	1811016186	1	29581	9782	1811007089	1	29581	3637	1811013234	0	29582	1898	1811014973	2	29580	22992	1810993879	3	29579	18133	1810998738	1	29581	15255	1811001616	1.73278948760899	16.3716033971868	16.3716033971868	5.20593618004162e-05	0.000185145203660035
chr17	19770829	19868936	-	ULK2	17	71801	0	98107	19748	1810928598	1	98106	5282	1810943064	0	98107	685	1810947661	3	98104	9780	1810938566	2	98105	3636	1810944710	1	98106	1897	1810946449	1	98106	22993	1810925353	3	98104	18133	1810930213	6	98101	15250	1810933096	1.16991075769953	16.3287685397081	16.3287685397081	5.32493911722387e-05	0.00018921998023902
chr17	30834324	30864028	-	AC130324.2	17	72169	2	29702	19746	1810997003	0	29704	5283	1811011466	0	29704	685	1811016064	2	29702	9781	1811006968	1	29703	3637	1811013112	0	29704	1898	1811014851	1	29703	22993	1810993756	3	29701	18133	1810998616	0	29704	15256	1811001493	1.72867358694734	16.3106473837979	16.3106473837979	5.37610281190482e-05	0.000190962040256634
chr1	40257235	40294180	+	ZMPSTE24	1	2073	0	36945	19748	1810989760	0	36945	5283	1811004225	0	36945	685	1811008823	2	36943	9781	1810999727	1	36944	3637	1811005871	1	36944	1897	1811007611	1	36944	22993	1810986515	2	36943	18134	1810991374	3	36942	15253	1810994255	1.61588705940105	16.2911141114309	16.2911141114309	5.4318073034465e-05	0.000192729037948757
chr15	41319793	41381021	+	NUSAP1	15	63924	3	61225	19745	1810965480	0	61228	5283	1810979942	0	61228	685	1810984540	1	61227	9782	1810975443	3	61225	3635	1810981590	0	61228	1898	1810983327	1	61227	22993	1810962232	3	61225	18133	1810967092	2	61226	15254	1810969971	1.37308589239414	16.2854662514292	16.2854662514292	5.4480216380437e-05	0.000193240169887251
chr2	64092651	64145420	-	PELI1	2	10152	2	52767	19746	1810973938	1	52768	5282	1810988402	0	52769	685	1810992999	0	52769	9783	1810983901	0	52769	3638	1810990046	0	52769	1898	1810991786	2	52767	22992	1810970692	4	52765	18132	1810975552	3	52766	15253	1810978431	1.44172050513779	16.276688081678	16.276688081678	5.47331938721696e-05	0.00019410525368741
chr19	2428165	2457959	-	LMNB2	19	77724	3	29791	19745	1810996914	1	29793	5282	1811011377	0	29794	685	1811015974	1	29793	9782	1811006877	0	29794	3638	1811013021	0	29794	1898	1811014761	1	29793	22993	1810993666	2	29792	18134	1810998525	1	29793	15255	1811001404	1.72564810747491	16.2658728426322	16.2658728426322	5.50465024350411e-05	0.00019518397237463
chr3	52197085	52214180	+	ALAS1	3	16518	1	17094	19747	1811009611	0	17095	5283	1811024075	0	17095	685	1811028673	1	17094	9782	1811019576	0	17095	3638	1811025720	0	17095	1898	1811027460	3	17092	22991	1811006367	2	17093	18134	1811011224	0	17095	15256	1811014102	2.02985687656657	16.256260051392	16.256260051392	5.53264906970608e-05	0.000196144205529135
chr17	81509972	81513755	-	ACTG1	17	75285	1	3782	19747	1811022923	0	3783	5283	1811037387	0	3783	685	1811041985	1	3782	9782	1811032888	0	3783	3638	1811039032	0	3783	1898	1811040772	0	3783	22994	1811019676	1	3782	18135	1811024535	1	3782	15255	1811027415	2.97858107785509	16.2348631429486	16.2348631429486	5.59548632409479e-05	0.000198240351992925
chr3	56620544	56665331	-	TASOR	3	16675	3	44784	19745	1810981921	1	44786	5282	1810996384	0	44787	685	1811000981	1	44786	9782	1810991884	0	44787	3638	1810998028	0	44787	1898	1810999768	1	44786	22993	1810978673	3	44784	18133	1810983533	2	44785	15254	1810986412	1.51871191024955	16.2285280213691	16.2285280213691	5.61422829976621e-05	0.0001988384155165
chr6	28432654	28444467	-	ZSCAN23	6	29269	0	11813	19748	1811014892	0	11813	5283	1811029357	0	11813	685	1811033955	1	11812	9782	1811024858	0	11813	3638	1811031002	1	11812	1897	1811032743	1	11812	22993	1811011647	2	11811	18134	1811016506	1	11812	15255	1811019385	2.24529864146783	16.213682890404	16.213682890404	5.65839416181158e-05	0.000200269849354693
chr1	7783702	7845177	+	PER3	1	471	1	61474	19747	1810965231	1	61474	5282	1810979696	1	61474	684	1810984294	0	61475	9783	1810975195	1	61474	3637	1810981341	0	61475	1898	1810983080	5	61470	22989	1810961989	3	61472	18133	1810966845	1	61474	15255	1810969723	1.36905964916238	16.2073597963899	16.2073597963899	5.67731199688781e-05	0.000200876310952976
chr19	53235384	53252630	-	ZNF677	19	82022	0	17246	19748	1811009459	1	17245	5282	1811023925	0	17246	685	1811028522	0	17246	9783	1811019424	0	17246	3638	1811025569	0	17246	1898	1811027309	4	17242	22990	1811006217	2	17244	18134	1811011073	0	17246	15256	1811013951	2.02106204323025	16.1493828296661	16.1493828296661	5.85376405283222e-05	0.00020677364277875
chr17	78796882	78841887	-	USP36	17	75110	2	45003	19746	1810981702	0	45005	5283	1810996165	0	45005	685	1811000763	1	45004	9782	1810991666	2	45003	3636	1810997812	0	45005	1898	1810999550	3	45002	22991	1810978457	1	45004	18135	1810983313	2	45003	15254	1810986194	1.51385592239224	16.1451512500644	16.1451512500644	5.86685673641396e-05	0.000207201864275962
chr1	27892072	27915513	-	RPA2	1	1478	2	23439	19746	1811003266	0	23441	5283	1811017729	0	23441	685	1811022327	0	23441	9783	1811013229	1	23440	3637	1811019375	1	23440	1897	1811021115	1	23440	22993	1811000019	1	23440	18135	1811004877	2	23439	15254	1811007758	1.84768445405471	16.0838291952387	16.0838291952387	6.05992936416611e-05	0.000213632256598147
chr1	28149672	28194873	-	PTAFR	1	1493	1	45200	19747	1810981505	0	45201	5283	1810995969	0	45201	685	1811000567	2	45199	9781	1810991471	0	45201	3638	1810997614	0	45201	1898	1810999354	2	45199	22992	1810978260	1	45200	18135	1810983117	5	45196	15251	1810986001	1.50951006117915	16.0706324623898	16.0706324623898	6.10230785099697e-05	0.000215090748684019
chr11	62646847	62654302	-	INTS5	11	50043	2	7453	19746	1811019252	0	7455	5283	1811033715	0	7455	685	1811038313	0	7455	9783	1811029215	0	7455	3638	1811035360	0	7455	1898	1811037100	1	7454	22993	1811016005	0	7455	18136	1811020862	2	7453	15254	1811023744	2.52330870996953	16.0343945557252	16.0343945557252	6.22021750827928e-05	0.000219066074665244
chr17	82418799	82442384	+	HEXD	17	75466	0	23585	19748	1811003120	0	23585	5283	1811017585	1	23584	684	1811022184	0	23585	9783	1811013085	0	23585	3638	1811019230	0	23585	1898	1811020970	3	23582	22991	1810999877	2	23583	18134	1811004734	2	23583	15254	1811007614	1.84155976939242	16.0013295076787	16.0013295076787	6.32980172932118e-05	0.000222888717123279
chr15	40593248	40664342	+	KNL1	15	63860	1	71093	19747	1810955612	0	71094	5283	1810970076	0	71094	685	1810974674	2	71092	9781	1810965578	2	71092	3636	1810971723	1	71093	1897	1810973462	2	71092	22992	1810952367	4	71090	18132	1810957227	2	71092	15254	1810960105	1.29779806781706	15.9847829774953	15.9847829774953	6.38536715426019e-05	0.00022466020086461
chr16	57541686	57565313	+	ADGRG5	16	68955	1	23626	19747	1811003079	3	23624	5280	1811017546	0	23627	685	1811022141	1	23626	9782	1811013044	0	23627	3638	1811019188	1	23626	1897	1811020929	1	23626	22993	1810999833	1	23626	18135	1811004691	0	23627	15256	1811007570	1.83978045678271	15.9773805523291	15.9773805523291	6.41038405317929e-05	0.000225429025780582
chr1	51789195	51879040	-	NRDC	1	2648	4	89841	19744	1810936864	1	89844	5282	1810951326	0	89845	685	1810955923	2	89843	9781	1810946827	2	89843	3636	1810952972	0	89845	1898	1810954710	3	89842	22991	1810933617	0	89845	18136	1810938472	4	89841	15252	1810941356	1.19725388027652	15.9753622096032	15.9753622096032	6.41722223998498e-05	0.000225632363998287
chr16	88651939	88664091	-	MVD	16	70249	1	12151	19747	1811014554	0	12152	5283	1811029018	0	12152	685	1811033616	1	12151	9782	1811024519	0	12152	3638	1811030663	0	12152	1898	1811032403	2	12150	22992	1811011309	2	12150	18134	1811016167	0	12152	15256	1811019045	2.21700321973332	15.910623956006	15.910623956006	6.6404924176533e-05	0.000232907750308598
chr10	74004136	74027915	+	AL596247.1	10	45922	0	23779	19748	1811002926	1	23778	5282	1811017392	0	23779	685	1811021989	3	23776	9780	1811012894	0	23779	3638	1811019036	0	23779	1898	1811020776	3	23776	22991	1810999683	0	23779	18136	1811004538	1	23778	15255	1811007419	1.83336733464246	15.8911246387288	15.8911246387288	6.70926097979807e-05	0.000235165320464805
chr11	776581	784180	+	AP006621.3	11	47772	1	7598	19747	1811019107	0	7599	5283	1811033571	0	7599	685	1811038169	0	7599	9783	1811029071	0	7599	3638	1811035216	0	7599	1898	1811036956	1	7598	22993	1811015861	2	7597	18134	1811020720	1	7598	15255	1811023599	2.50417506054991	15.8585579162464	15.8585579162464	6.82571564708523e-05	0.000238972744930805
chr19	17296195	17297695	-	AC010463.3	19	79092	1	1499	19747	1811025206	1	1499	5282	1811039671	0	1500	685	1811044268	0	1500	9783	1811035170	1	1499	3637	1811041316	0	1500	1898	1811043055	0	1500	22994	1811021959	0	1500	18136	1811026817	0	1500	15256	1811029697	3.61608010321353	15.85688927304	15.85688927304	6.83173697413331e-05	0.000239144370783595
chr19	39124781	39178817	+	PAK4	19	80411	1	54035	19747	1810972670	0	54036	5283	1810987134	0	54036	685	1810991732	2	54034	9781	1810982636	1	54035	3637	1810988780	0	54036	1898	1810990519	3	54033	22991	1810969426	3	54033	18133	1810974284	2	54034	15254	1810977163	1.41799243231286	15.8435396114364	15.8435396114364	6.88010221273627e-05	0.000240758506353646
chr2	99400474	99490973	-	REV1	2	11133	1	90498	19747	1810936207	0	90499	5283	1810950671	1	90498	684	1810955270	1	90498	9782	1810946172	0	90499	3638	1810952316	0	90499	1898	1810954056	4	90495	22990	1810932964	4	90495	18132	1810937822	5	90494	15251	1810940703	1.19000049230189	15.8136171130463	15.8136171130463	6.9897650439521e-05	0.000244395859424193
chr1	68474151	68498082	-	DEPDC1	1	3171	0	23931	19748	1811002774	0	23931	5283	1811017239	0	23931	685	1811021837	1	23930	9782	1811012740	0	23931	3638	1811018884	0	23931	1898	1811020624	3	23928	22991	1810999531	1	23930	18135	1811004387	3	23928	15253	1811007269	1.82699502902769	15.8055235827342	15.8055235827342	7.01972793984984e-05	0.000245403348970503
chr17	759329	783279	-	GLOD4	17	70474	2	23948	19746	1811002757	1	23949	5282	1811017221	0	23950	685	1811021818	1	23949	9782	1811012721	0	23950	3638	1811018865	0	23950	1898	1811020605	2	23948	22992	1810999511	0	23950	18136	1811004367	2	23948	15254	1811007249	1.8262014086858	15.7948692278005	15.7948692278005	7.05936829277221e-05	0.000246627734322537
chr11	66509634	66533598	+	BBS1	11	50615	1	23963	19747	1811002742	1	23963	5282	1811017207	0	23964	685	1811021804	0	23964	9783	1811012706	1	23963	3637	1811018852	0	23964	1898	1811020591	1	23963	22993	1810999496	2	23962	18134	1811004355	2	23962	15254	1811007235	1.8256169908218	15.787024834659	15.787024834659	7.08869782023447e-05	0.000247611911598741
chr19	40347699	40378483	+	PLD3	19	80533	1	30783	19747	1810995922	1	30783	5282	1811010387	0	30784	685	1811014984	0	30784	9783	1811005886	2	30782	3636	1811012033	0	30784	1898	1811013771	1	30783	22993	1810992676	1	30783	18135	1810997534	3	30781	15253	1811000416	1.69295809275112	15.7839782517403	15.7839782517403	7.10012175768604e-05	0.000247889381693591
chr19	52116912	52140922	-	ZNF616	19	81885	4	24006	19744	1811002699	0	24010	5283	1811017160	0	24010	685	1811021758	1	24009	9782	1811012661	0	24010	3638	1811018805	1	24009	1897	1811020546	1	24009	22993	1810999450	0	24010	18136	1811004307	1	24009	15255	1811007188	1.82369914795781	15.7612915337086	15.7612915337086	7.18577584980507e-05	0.000250511457958533
chr20	1324420	1378723	+	SDCBP2-AS1	20	82908	3	54300	19745	1810972405	1	54302	5282	1810986868	0	54303	685	1810991465	0	54303	9783	1810982367	0	54303	3638	1810988512	0	54303	1898	1810990252	4	54299	22990	1810969160	2	54301	18134	1810974016	2	54301	15254	1810976896	1.41306314162517	15.7539640641771	15.7539640641771	7.21366231990483e-05	0.000251403355130342
chr16	88983031	88995369	+	AC135782.2	16	70298	4	12334	19744	1811014371	0	12338	5283	1811028832	0	12338	685	1811033430	0	12338	9783	1811024332	0	12338	3638	1811030477	0	12338	1898	1811032217	0	12338	22994	1811011121	1	12337	18135	1811015980	1	12337	15255	1811018860	2.20181188612403	15.7483461499214	15.7483461499214	7.23511636837593e-05	0.000251984892327773
chr17	42597642	42599177	+	AC067852.4	17	73000	1	1534	19747	1811025171	1	1534	5282	1811039636	0	1535	685	1811044233	1	1534	9782	1811035136	0	1535	3638	1811041280	0	1535	1898	1811043020	0	1535	22994	1811021924	0	1535	18136	1811026782	0	1535	15256	1811029662	3.59300814491355	15.7222448275425	15.7222448275425	7.3356387189194e-05	0.000255194712645964
chr6	43516088	43562242	+	POLR1C	6	30404	3	46151	19745	1810980554	1	46153	5282	1810995017	0	46154	685	1810999614	0	46154	9783	1810990516	0	46154	3638	1810996661	0	46154	1898	1810998401	4	46150	22990	1810977309	2	46152	18134	1810982165	1	46153	15255	1810985044	1.48864437814483	15.7141254702583	15.7141254702583	7.36719387409712e-05	0.000256209035657281
chr11	85958986	86069780	-	PICALM	11	51476	5	110789	19743	1810915916	0	110794	5283	1810930376	0	110794	685	1810934974	1	110793	9782	1810925877	0	110794	3638	1810932021	0	110794	1898	1810933761	4	110790	22990	1810912669	6	110788	18130	1810917529	2	110792	15254	1810920405	1.1054569490399	15.7129129883833	15.7129129883833	7.37191778014124e-05	0.000256331598386131
chr16	21952370	21983325	+	UQCRC2	16	67788	1	30954	19747	1810995751	0	30955	5283	1811010215	0	30955	685	1811014813	1	30954	9782	1811005716	0	30955	3638	1811011860	0	30955	1898	1811013600	5	30950	22989	1810992509	0	30955	18136	1810997362	2	30953	15254	1811000244	1.68741830432309	15.7026596111245	15.7026596111245	7.41198761902151e-05	0.000257599120780144
chr19	48454573	48466980	+	KCNJ14	19	81341	2	12405	19746	1811014300	0	12407	5283	1811028763	0	12407	685	1811033361	0	12407	9783	1811024263	0	12407	3638	1811030408	0	12407	1898	1811032148	2	12405	22992	1811011054	0	12407	18136	1811015910	2	12405	15254	1811018792	2.19623455068286	15.6888415385038	15.6888415385038	7.46633499056904e-05	0.000259361371717588
chr12	115959260	116278174	-	MED13L	12	57093	6	318908	19742	1810707797	3	318911	5280	1810722259	0	318914	685	1810726854	4	318910	9779	1810717760	2	318912	3636	1810723903	1	318913	1897	1810725642	8	318906	22986	1810704553	3	318911	18133	1810709406	9	318905	15247	1810712292	0.741417907283996	15.6818083659746	15.6818083659746	7.49415067784476e-05	0.000260200710974178
chr7	105013189	105114084	+	KMT2E	7	35769	0	100895	19748	1810925810	0	100895	5283	1810940275	0	100895	685	1810944873	3	100892	9780	1810935778	1	100894	3637	1810941921	0	100895	1898	1810943660	3	100892	22991	1810922567	6	100889	18130	1810927428	4	100891	15252	1810930306	1.14188686555456	15.6759323352017	15.6759323352017	7.5174698690228e-05	0.000260967958881251
chr19	867971	892148	-	MED16	19	77493	2	24175	19746	1811002530	0	24177	5283	1811016993	0	24177	685	1811021591	0	24177	9783	1811012493	0	24177	3638	1811018638	0	24177	1898	1811020378	4	24173	22990	1810999286	2	24175	18134	1811004142	0	24177	15256	1811007020	1.81676735369159	15.6683519151993	15.6683519151993	7.54766083633784e-05	0.000261888387609663
chr9	20341668	20623499	-	MLLT3	9	41279	7	281824	19741	1810744881	2	281829	5281	1810759341	0	281831	685	1810763937	4	281827	9779	1810754843	3	281828	3635	1810760987	0	281831	1898	1810762724	5	281826	22989	1810741633	8	281823	18128	1810746494	4	281827	15252	1810749370	0.778010641737271	15.6603144295514	15.6603144295514	7.57980542878123e-05	0.000262918348371377
chr2	65312992	65367650	-	SPRED2	2	10203	1	54657	19747	1810972048	4	54654	5279	1810986516	0	54658	685	1810991110	1	54657	9782	1810982013	1	54657	3637	1810988158	0	54658	1898	1810989897	2	54656	22992	1810968803	3	54655	18133	1810973662	0	54658	15256	1810976539	1.40654662035692	15.635764895007	15.635764895007	7.67884250907347e-05	0.000265965031433576
chr6	43522333	43577038	-	XPO5	6	30408	3	54702	19745	1810972003	1	54704	5282	1810986466	0	54705	685	1810991063	0	54705	9783	1810981965	0	54705	3638	1810988110	0	54705	1898	1810989850	4	54701	22990	1810968758	3	54702	18133	1810973615	1	54704	15255	1810976493	1.40568704248393	15.6201914618723	15.6201914618723	7.74234224779624e-05	0.00026803406806329
